,number,prime_factors,mean,deviation,one_over_slope,color_bucket
0,1,[  ],0.0,0.0,0.0,
1,2,[ 2 ],2.0,0.0,0.0,
2,3,[ 3 ],3.0,0.0,0.0,
3,4,"[ 2, 2 ]",2.0,0.0,0.0,
4,5,[ 5 ],5.0,0.0,0.0,
5,6,"[ 2, 3 ]",2.5,0.5,12.0,
6,7,[ 7 ],7.0,0.0,0.0,
7,8,"[ 2, 2, 2 ]",2.0,0.0,0.0,
8,9,"[ 3, 3 ]",3.0,0.0,0.0,
9,10,"[ 2, 5 ]",3.5,1.5,6.666666666666667,
10,11,[ 11 ],11.0,0.0,0.0,
11,12,"[ 2, 2, 3 ]",2.3333333333333335,0.4444444444444445,26.999999999999996,
12,13,[ 13 ],13.0,0.0,0.0,
13,14,"[ 2, 7 ]",4.5,2.5,5.6,
14,15,"[ 3, 5 ]",4.0,1.0,15.0,
15,16,"[ 2, 2, 2, 2 ]",2.0,0.0,0.0,
16,17,[ 17 ],17.0,0.0,0.0,
17,18,"[ 2, 3, 3 ]",2.6666666666666665,0.4444444444444445,40.5,
18,19,[ 19 ],19.0,0.0,0.0,
19,20,"[ 2, 2, 5 ]",3.0,1.3333333333333333,15.0,
20,21,"[ 3, 7 ]",5.0,2.0,10.5,
21,22,"[ 2, 11 ]",6.5,4.5,4.888888888888889,
22,23,[ 23 ],23.0,0.0,0.0,
23,24,"[ 2, 2, 2, 3 ]",2.25,0.375,64.0,
24,25,"[ 5, 5 ]",5.0,0.0,0.0,
25,26,"[ 2, 13 ]",7.5,5.5,4.7272727272727275,
26,27,"[ 3, 3, 3 ]",3.0,0.0,0.0,
27,28,"[ 2, 2, 7 ]",3.6666666666666665,2.222222222222222,12.600000000000001,
28,29,[ 29 ],29.0,0.0,0.0,
29,30,"[ 2, 3, 5 ]",3.3333333333333335,1.1111111111111112,27.0,
30,31,[ 31 ],31.0,0.0,0.0,
31,32,"[ 2, 2, 2, 2, 2 ]",2.0,0.0,0.0,
32,33,"[ 3, 11 ]",7.0,4.0,8.25,
33,34,"[ 2, 17 ]",9.5,7.5,4.533333333333333,
34,35,"[ 5, 7 ]",6.0,1.0,35.0,
35,36,"[ 2, 2, 3, 3 ]",2.5,0.5,72.0,
36,37,[ 37 ],37.0,0.0,0.0,
37,38,"[ 2, 19 ]",10.5,8.5,4.470588235294118,
38,39,"[ 3, 13 ]",8.0,5.0,7.8,
39,40,"[ 2, 2, 2, 5 ]",2.75,1.125,35.55555555555556,
40,41,[ 41 ],41.0,0.0,0.0,
41,42,"[ 2, 3, 7 ]",4.0,2.0,21.0,
42,43,[ 43 ],43.0,0.0,0.0,
43,44,"[ 2, 2, 11 ]",5.0,4.0,11.0,
44,45,"[ 3, 3, 5 ]",3.6666666666666665,0.8888888888888888,50.625,
45,46,"[ 2, 23 ]",12.5,10.5,4.380952380952381,
46,47,[ 47 ],47.0,0.0,0.0,
47,48,"[ 2, 2, 2, 2, 3 ]",2.2,0.3200000000000001,149.99999999999994,
48,49,"[ 7, 7 ]",7.0,0.0,0.0,
49,50,"[ 2, 5, 5 ]",4.0,1.3333333333333333,37.5,
50,51,"[ 3, 17 ]",10.0,7.0,7.285714285714286,
51,52,"[ 2, 2, 13 ]",5.666666666666667,4.888888888888889,10.636363636363635,
52,53,[ 53 ],53.0,0.0,0.0,
53,54,"[ 2, 3, 3, 3 ]",2.75,0.375,144.0,
54,55,"[ 5, 11 ]",8.0,3.0,18.333333333333332,
55,56,"[ 2, 2, 2, 7 ]",3.25,1.875,29.866666666666667,
56,57,"[ 3, 19 ]",11.0,8.0,7.125,
57,58,"[ 2, 29 ]",15.5,13.5,4.296296296296297,
58,59,[ 59 ],59.0,0.0,0.0,
59,60,"[ 2, 2, 3, 5 ]",3.0,1.0,60.0,
60,61,[ 61 ],61.0,0.0,0.0,
61,62,"[ 2, 31 ]",16.5,14.5,4.275862068965517,
62,63,"[ 3, 3, 7 ]",4.333333333333333,1.7777777777777777,35.4375,
63,64,"[ 2, 2, 2, 2, 2, 2 ]",2.0,0.0,0.0,
64,65,"[ 5, 13 ]",9.0,4.0,16.25,
65,66,"[ 2, 3, 11 ]",5.333333333333333,3.7777777777777772,17.47058823529412,
66,67,[ 67 ],67.0,0.0,0.0,
67,68,"[ 2, 2, 17 ]",7.0,6.666666666666667,10.2,
68,69,"[ 3, 23 ]",13.0,10.0,6.9,
69,70,"[ 2, 5, 7 ]",4.666666666666667,1.7777777777777777,39.375,
70,71,[ 71 ],71.0,0.0,0.0,
71,72,"[ 2, 2, 2, 3, 3 ]",2.4,0.48,150.0,
72,73,[ 73 ],73.0,0.0,0.0,
73,74,"[ 2, 37 ]",19.5,17.5,4.228571428571429,
74,75,"[ 3, 5, 5 ]",4.333333333333333,0.888888888888889,84.375,
75,76,"[ 2, 2, 19 ]",7.666666666666667,7.5555555555555545,10.058823529411766,
76,77,"[ 7, 11 ]",9.0,2.0,38.5,
77,78,"[ 2, 3, 13 ]",6.0,4.666666666666667,16.71428571428571,
78,79,[ 79 ],79.0,0.0,0.0,
79,80,"[ 2, 2, 2, 2, 5 ]",2.6,0.9600000000000002,83.33333333333331,
80,81,"[ 3, 3, 3, 3 ]",3.0,0.0,0.0,
81,82,"[ 2, 41 ]",21.5,19.5,4.205128205128205,
82,83,[ 83 ],83.0,0.0,0.0,
83,84,"[ 2, 2, 3, 7 ]",3.5,1.75,48.0,
84,85,"[ 5, 17 ]",11.0,6.0,14.166666666666666,
85,86,"[ 2, 43 ]",22.5,20.5,4.195121951219512,
86,87,"[ 3, 29 ]",16.0,13.0,6.6923076923076925,
87,88,"[ 2, 2, 2, 11 ]",4.25,3.375,26.074074074074073,
88,89,[ 89 ],89.0,0.0,0.0,
89,90,"[ 2, 3, 3, 5 ]",3.25,0.875,102.85714285714286,
90,91,"[ 7, 13 ]",10.0,3.0,30.333333333333332,
91,92,"[ 2, 2, 23 ]",9.0,9.333333333333334,9.857142857142856,
92,93,"[ 3, 31 ]",17.0,14.0,6.642857142857143,
93,94,"[ 2, 47 ]",24.5,22.5,4.177777777777778,
94,95,"[ 5, 19 ]",12.0,7.0,13.571428571428571,
95,96,"[ 2, 2, 2, 2, 2, 3 ]",2.1666666666666665,0.2777777777777777,345.60000000000014,
96,97,[ 97 ],97.0,0.0,0.0,
97,98,"[ 2, 7, 7 ]",5.333333333333333,2.2222222222222223,44.1,
98,99,"[ 3, 3, 11 ]",5.666666666666667,3.555555555555556,27.843749999999996,
99,100,"[ 2, 2, 5, 5 ]",3.5,1.5,66.66666666666667,
100,101,[ 101 ],101.0,0.0,0.0,
101,102,"[ 2, 3, 17 ]",7.333333333333333,6.4444444444444455,15.82758620689655,
102,103,[ 103 ],103.0,0.0,0.0,
103,104,"[ 2, 2, 2, 13 ]",4.75,4.125,25.21212121212121,
