,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,factor_family,color_bucket
0,18,"[ 2, 3, 3 ]",2.6207413942088964,0.4597528685970345,39.15146860296524,"[ 2, 3 ]",3,6.0,4
1,30,"[ 2, 3, 5 ]",3.1072325059538586,1.0357441686512863,28.964681538168893,"[ 2, 3 ]",5,6.0,4
2,42,"[ 2, 3, 7 ]",3.4760266448864496,1.8253422149621497,23.00938402439288,"[ 2, 3 ]",7,6.0,4
3,66,"[ 2, 3, 11 ]",4.04124002062219,3.3470800068740636,19.718680122510527,"[ 2, 3 ]",11,6.0,3
4,78,"[ 2, 3, 13 ]",4.272658681697917,4.090886227232639,19.066773228930554,"[ 2, 3 ]",13,6.0,3
5,102,"[ 2, 3, 17 ]",4.672328728355259,5.557442909451754,18.353764791092093,"[ 2, 3 ]",17,6.0,2
6,114,"[ 2, 3, 19 ]",4.848807585839879,6.282935861946626,18.144383852532226,"[ 2, 3 ]",19,6.0,2
7,138,"[ 2, 3, 23 ]",5.167649252363622,7.7225497507878735,17.86974567381983,"[ 2, 3 ]",23,6.0,2
8,174,"[ 2, 3, 29 ]",5.5827701716584235,9.860923390552808,17.645406328447855,"[ 2, 3 ]",29,6.0,2
9,186,"[ 2, 3, 31 ]",5.708267473384861,10.569422491128288,17.59793405515995,"[ 2, 3 ]",31,6.0,2
10,222,"[ 2, 3, 37 ]",6.055048946511104,12.685016315503702,17.500962906028768,"[ 2, 3 ]",37,6.0,2
11,246,"[ 2, 3, 41 ]",6.265826556058271,14.088608852019425,17.460914884065293,"[ 2, 3 ]",41,6.0,1
12,258,"[ 2, 3, 43 ]",6.366096760416892,14.788698920138962,17.4457537740971,"[ 2, 3 ]",43,6.0,1
13,282,"[ 2, 3, 47 ]",6.557672186169711,16.185890728723237,17.42258147706181,"[ 2, 3 ]",47,6.0,1
14,318,"[ 2, 3, 53 ]",6.825624196557114,18.27520806551904,17.400622682922567,"[ 2, 3 ]",53,6.0,1
15,354,"[ 2, 3, 59 ]",7.074043955105013,20.35801465170167,17.38872901196238,"[ 2, 3 ]",59,6.0,1
16,366,"[ 2, 3, 61 ]",7.153090095040668,21.051030031680224,17.38632263833159,"[ 2, 3 ]",61,6.0,1
17,402,"[ 2, 3, 67 ]",7.380322692098104,23.126774230699368,17.382450141549345,"[ 2, 3 ]",67,6.0,1
18,426,"[ 2, 3, 71 ]",7.524365203641101,24.508121734547032,17.381992982330576,"[ 2, 3 ]",71,6.0,1
19,438,"[ 2, 3, 73 ]",7.594363318174861,25.19812110605829,17.382248388936162,"[ 2, 3 ]",73,6.0,1
20,474,"[ 2, 3, 79 ]",7.796974500505972,27.265658166835326,17.384506073524808,"[ 2, 3 ]",79,6.0,1
21,498,"[ 2, 3, 83 ]",7.926408444489703,28.64213614816323,17.386971328670814,"[ 2, 3 ]",83,6.0,1
22,534,"[ 2, 3, 89 ]",8.112980254932962,30.70432675164432,17.391685683888266,"[ 2, 3 ]",89,6.0,1
23,582,"[ 2, 3, 97 ]",8.349125609133615,33.44970853637788,17.39925474588372,"[ 2, 3 ]",97,6.0,1
24,606,"[ 2, 3, 101 ]",8.462347877645415,34.820782625881805,17.403399760164167,"[ 2, 3 ]",101,6.0,1
25,618,"[ 2, 3, 103 ]",8.517840268993503,35.50594675633117,17.405535028855486,"[ 2, 3 ]",103,6.0,1
26,642,"[ 2, 3, 107 ]",8.626706236691353,36.87556874556379,17.4099009680287,"[ 2, 3 ]",107,6.0,1
27,654,"[ 2, 3, 109 ]",8.68012373555622,37.56004124518541,17.412121454574606,"[ 2, 3 ]",109,6.0,1
28,678,"[ 2, 3, 113 ]",8.785029643636324,38.92834321454544,17.416615864264873,"[ 2, 3 ]",113,6.0,1
29,762,"[ 2, 3, 127 ]",9.133803351354011,43.71126778378467,17.432576052682574,"[ 2, 3 ]",127,6.0,1
30,786,"[ 2, 3, 131 ]",9.228706804184545,45.07623560139485,17.437126004720717,"[ 2, 3 ]",131,6.0,1
31,822,"[ 2, 3, 137 ]",9.367505120898475,47.122501706966155,17.44389559602866,"[ 2, 3 ]",137,6.0,1
32,834,"[ 2, 3, 139 ]",9.412869049336713,47.804289683112245,17.446133088232582,"[ 2, 3 ]",139,6.0,1
33,894,"[ 2, 3, 149 ]",9.633390670534583,51.211130223511525,17.457142541047766,"[ 2, 3 ]",149,6.0,1
34,906,"[ 2, 3, 151 ]",9.67630166303205,51.89210055434401,17.459304794401053,"[ 2, 3 ]",151,6.0,1
35,942,"[ 2, 3, 157 ]",9.802803584934617,53.93426786164488,17.465704780056896,"[ 2, 3 ]",157,6.0,1
36,978,"[ 2, 3, 163 ]",9.92612221806536,55.97537407268845,17.471968989970296,"[ 2, 3 ]",163,6.0,1
37,1002,"[ 2, 3, 167 ]",10.006662227153917,57.33555407571797,17.476067270174937,"[ 2, 3 ]",167,6.0,1
38,1038,"[ 2, 3, 173 ]",10.125095258972694,59.3750317529909,17.482095913956506,"[ 2, 3 ]",173,6.0,1
39,1074,"[ 2, 3, 179 ]",10.240820653630497,61.4136068845435,17.48798115732074,"[ 2, 3 ]",179,6.0,1
40,1086,"[ 2, 3, 181 ]",10.278820336304923,62.09294011210164,17.489911059765447,"[ 2, 3 ]",181,6.0,1
41,1146,"[ 2, 3, 191 ]",10.464734295560826,65.48824476518695,17.49932379634039,"[ 2, 3 ]",191,6.0,1
42,1158,"[ 2, 3, 193 ]",10.501133664444135,66.16704455481472,17.501159493993704,"[ 2, 3 ]",193,6.0,2
43,1182,"[ 2, 3, 197 ]",10.573184862467542,67.52439495415585,17.504784764121055,"[ 2, 3 ]",197,6.0,2
44,1194,"[ 2, 3, 199 ]",10.608845115109894,68.2029483717033,17.506574547081872,"[ 2, 3 ]",199,6.0,2
45,1266,"[ 2, 3, 211 ]",10.817940004823598,72.27264666827453,17.517000668466387,"[ 2, 3 ]",211,6.0,2
46,1338,"[ 2, 3, 223 ]",11.019250039267872,76.3397500130893,17.526910944437006,"[ 2, 3 ]",223,6.0,2
47,1362,"[ 2, 3, 227 ]",11.084744890915191,77.6949149636384,17.53010477760897,"[ 2, 3 ]",227,6.0,2
48,1374,"[ 2, 3, 229 ]",11.117204065628151,78.37240135520938,17.531681768593288,"[ 2, 3 ]",229,6.0,2
49,1398,"[ 2, 3, 233 ]",11.181559791888779,79.72718659729625,17.534796594056782,"[ 2, 3 ]",233,6.0,2
50,1434,"[ 2, 3, 239 ]",11.27672657895158,81.75890885965053,17.539373017583216,"[ 2, 3 ]",239,6.0,2
51,1446,"[ 2, 3, 241 ]",11.308094547430144,82.43603151581006,17.540873491983632,"[ 2, 3 ]",241,6.0,2
52,1506,"[ 2, 3, 251 ]",11.462384976728307,85.82079499224277,17.548194468906114,"[ 2, 3 ]",251,6.0,2
53,1542,"[ 2, 3, 257 ]",11.553000476063055,87.85100015868768,17.552446724734413,"[ 2, 3 ]",257,6.0,2
54,1578,"[ 2, 3, 263 ]",11.642216368026382,89.88073878934215,17.556598012600176,"[ 2, 3 ]",263,6.0,2
55,1614,"[ 2, 3, 269 ]",11.730085476171359,91.91002849205711,17.56065172082372,"[ 2, 3 ]",269,6.0,2
56,1626,"[ 2, 3, 271 ]",11.759084569401208,92.58636152313375,17.56198184322996,"[ 2, 3 ]",271,6.0,2
57,1662,"[ 2, 3, 277 ]",11.845234780425892,94.61507826014197,17.565910535214794,"[ 2, 3 ]",277,6.0,2
58,1686,"[ 2, 3, 281 ]",11.901979286149437,95.96732642871649,17.568479426717623,"[ 2, 3 ]",281,6.0,2
59,1698,"[ 2, 3, 283 ]",11.930149756407895,96.64338325213596,17.56974914226703,"[ 2, 3 ]",283,6.0,2
60,1758,"[ 2, 3, 293 ]",12.069046398707316,100.02301546623578,17.575954812054615,"[ 2, 3 ]",293,6.0,2
61,1842,"[ 2, 3, 307 ]",12.258289544017824,104.75276318133928,17.584261684928375,"[ 2, 3 ]",307,6.0,2
62,1866,"[ 2, 3, 311 ]",12.311299023092786,106.10376634103095,17.586557615706493,"[ 2, 3 ]",311,6.0,2
63,1878,"[ 2, 3, 313 ]",12.337633432796737,106.77921114426557,17.587693146212715,"[ 2, 3 ]",313,6.0,2
64,1902,"[ 2, 3, 317 ]",12.389967605074762,108.12998920169157,17.58993979415144,"[ 2, 3 ]",317,6.0,2
65,1986,"[ 2, 3, 331 ]",12.569743477403872,112.85658115913463,17.59755593871499,"[ 2, 3 ]",331,6.0,2
66,2022,"[ 2, 3, 337 ]",12.645239242352863,114.88174641411761,17.60070736312832,"[ 2, 3 ]",337,6.0,2
67,2082,"[ 2, 3, 347 ]",12.769098635999608,118.25636621199986,17.60581748527237,"[ 2, 3 ]",347,6.0,2
68,2094,"[ 2, 3, 349 ]",12.793584024124854,118.93119467470827,17.606818847883876,"[ 2, 3 ]",349,6.0,2
69,2118,"[ 2, 3, 353 ]",12.842275583911556,120.28075852797052,17.60880149011924,"[ 2, 3 ]",353,6.0,2
70,2154,"[ 2, 3, 359 ]",12.914627958962706,122.30487598632091,17.611726291606825,"[ 2, 3 ]",359,6.0,2
71,2202,"[ 2, 3, 367 ]",13.009854461020415,125.00328482034013,17.61553708900374,"[ 2, 3 ]",367,6.0,2
72,2238,"[ 2, 3, 373 ]",13.080369954653145,127.02678998488439,17.618330749492387,"[ 2, 3 ]",373,6.0,2
