,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,color_bucket
0,10000,"[ 2, 2, 2, 2, 5, 5, 5, 5 ]",3.5,1.5,6666.666666666667,"[ 2, 2, 2, 2, 5, 5, 5 ]",5,10
1,10001,"[ 73, 137 ]",105.0,32.0,312.53125,[ 73 ],137,8
2,10002,"[ 2, 3, 1667 ]",557.3333333333334,739.7777777777777,13.520276359267049,"[ 2, 3 ]",1667,2
3,10003,"[ 7, 1429 ]",718.0,711.0,14.068917018284107,[ 7 ],1429,2
4,10004,"[ 2, 2, 41, 61 ]",26.5,24.5,408.3265306122449,"[ 2, 2, 41 ]",61,8
5,10005,"[ 3, 5, 23, 29 ]",15.0,11.0,909.5454545454545,"[ 3, 5, 23 ]",29,9
6,10006,"[ 2, 5003 ]",2502.5,2500.5,4.001599680063987,[ 2 ],5003,1
7,10008,"[ 2, 2, 2, 3, 3, 139 ]",25.166666666666668,37.94444444444445,263.75402635431914,"[ 2, 2, 2, 3, 3 ]",139,7
8,10010,"[ 2, 5, 7, 11, 13 ]",7.6,3.5200000000000005,2843.7499999999995,"[ 2, 5, 7, 11 ]",13,10
9,10011,"[ 3, 47, 71 ]",40.333333333333336,24.888888888888886,402.2276785714286,"[ 3, 47 ]",71,8
10,10012,"[ 2, 2, 2503 ]",835.6666666666666,1111.5555555555557,9.007197121151538,"[ 2, 2 ]",2503,2
11,10013,"[ 17, 19, 31 ]",22.333333333333332,5.777777777777778,1733.0192307692307,"[ 17, 19 ]",31,10
12,10014,"[ 2, 3, 1669 ]",558.0,740.6666666666666,13.52025202520252,"[ 2, 3 ]",1669,2
13,10015,"[ 5, 2003 ]",1004.0,999.0,10.025025025025025,[ 5 ],2003,2
14,10016,"[ 2, 2, 2, 2, 2, 313 ]",53.833333333333336,86.3888888888889,115.94083601286172,"[ 2, 2, 2, 2, 2 ]",313,6
15,10017,"[ 3, 3, 3, 7, 53 ]",13.8,15.680000000000001,638.8392857142857,"[ 3, 3, 3, 7 ]",53,9
16,10018,"[ 2, 5009 ]",2505.5,2503.5,4.001597763131616,[ 2 ],5009,1
17,10019,"[ 43, 233 ]",138.0,95.0,105.46315789473684,[ 43 ],233,6
18,10020,"[ 2, 2, 3, 5, 167 ]",35.8,52.48,190.9298780487805,"[ 2, 2, 3, 5 ]",167,7
19,10021,"[ 11, 911 ]",461.0,450.0,22.26888888888889,[ 11 ],911,3
20,10022,"[ 2, 5011 ]",2506.5,2504.5,4.001597125174685,[ 2 ],5011,1
21,10023,"[ 3, 13, 257 ]",91.0,110.66666666666667,90.56927710843374,"[ 3, 13 ]",257,5
22,10024,"[ 2, 2, 2, 7, 179 ]",38.4,56.239999999999995,178.23613086770982,"[ 2, 2, 2, 7 ]",179,7
23,10025,"[ 5, 5, 401 ]",137.0,176.0,56.96022727272727,"[ 5, 5 ]",401,4
24,10026,"[ 2, 3, 3, 557 ]",141.25,207.875,48.230907997594706,"[ 2, 3, 3 ]",557,4
25,10027,"[ 37, 271 ]",154.0,117.0,85.7008547008547,[ 37 ],271,5
26,10028,"[ 2, 2, 23, 109 ]",34.0,37.5,267.41333333333336,"[ 2, 2, 23 ]",109,7
27,10029,"[ 3, 3343 ]",1673.0,1670.0,6.005389221556886,[ 3 ],3343,1
28,10030,"[ 2, 5, 17, 59 ]",20.75,19.125,524.4444444444445,"[ 2, 5, 17 ]",59,8
29,10031,"[ 7, 1433 ]",720.0,713.0,14.068723702664796,[ 7 ],1433,2
30,10032,"[ 2, 2, 2, 2, 3, 11, 19 ]",5.857142857142857,5.224489795918367,1920.1875000000002,"[ 2, 2, 2, 2, 3, 11 ]",19,10
31,10033,"[ 79, 127 ]",103.0,24.0,418.0416666666667,[ 79 ],127,8
32,10034,"[ 2, 29, 173 ]",68.0,70.0,143.34285714285716,"[ 2, 29 ]",173,6
33,10035,"[ 3, 3, 5, 223 ]",58.5,82.25,122.00607902735563,"[ 3, 3, 5 ]",223,6
34,10036,"[ 2, 2, 13, 193 ]",52.5,70.25,142.8612099644128,"[ 2, 2, 13 ]",193,6
35,10038,"[ 2, 3, 7, 239 ]",62.75,88.125,113.9063829787234,"[ 2, 3, 7 ]",239,6
36,10040,"[ 2, 2, 2, 5, 251 ]",52.4,79.44,126.38469284994964,"[ 2, 2, 2, 5 ]",251,6
37,10041,"[ 3, 3347 ]",1675.0,1672.0,6.005382775119617,[ 3 ],3347,1
38,10042,"[ 2, 5021 ]",2511.5,2509.5,4.0015939430165375,[ 2 ],5021,1
39,10043,"[ 11, 11, 83 ]",35.0,32.0,313.84375,"[ 11, 11 ]",83,8
40,10044,"[ 2, 2, 3, 3, 3, 3, 31 ]",6.714285714285714,6.938775510204081,1447.5176470588235,"[ 2, 2, 3, 3, 3, 3 ]",31,10
41,10045,"[ 5, 7, 7, 41 ]",15.0,13.0,772.6923076923077,"[ 5, 7, 7 ]",41,9
42,10046,"[ 2, 5023 ]",2512.5,2510.5,4.001593308105955,[ 2 ],5023,1
43,10047,"[ 3, 17, 197 ]",72.33333333333333,83.1111111111111,120.88636363636365,"[ 3, 17 ]",197,6
44,10048,"[ 2, 2, 2, 2, 2, 2, 157 ]",24.142857142857142,37.95918367346939,264.705376344086,"[ 2, 2, 2, 2, 2, 2 ]",157,7
45,10049,"[ 13, 773 ]",393.0,380.0,26.444736842105264,[ 13 ],773,3
46,10050,"[ 2, 3, 5, 5, 67 ]",16.4,20.24,496.5415019762846,"[ 2, 3, 5, 5 ]",67,8
47,10051,"[ 19, 23, 23 ]",21.666666666666668,1.7777777777777775,5653.687500000001,"[ 19, 23 ]",23,10
48,10052,"[ 2, 2, 7, 359 ]",92.5,133.25,75.43714821763602,"[ 2, 2, 7 ]",359,5
49,10053,"[ 3, 3, 1117 ]",374.3333333333333,495.11111111111114,20.304533213644522,"[ 3, 3 ]",1117,2
