,number,prime_factors,ideal,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,1,[  ],0.0,0.0,0.0,0,0,1.0,0
1,4,"[ 2, 2 ]",2.0,0.0,0.0,[ 2 ],2,2.0,0
2,6,"[ 2, 3 ]",2.449489742783178,0.5,12.0,[ 2 ],3,2.0,3
3,8,"[ 2, 2, 2 ]",2.0,0.0,0.0,"[ 2, 2 ]",2,4.0,0
4,9,"[ 3, 3 ]",3.0,0.0,0.0,[ 3 ],3,3.0,0
5,10,"[ 2, 5 ]",3.1622776601683795,1.5,6.666666666666667,[ 2 ],5,2.0,3
6,12,"[ 2, 2, 3 ]",2.2894284851066637,0.4298094950355546,27.91934598608004,"[ 2, 2 ]",3,4.0,4
7,14,"[ 2, 7 ]",3.7416573867739413,2.5,5.6,[ 2 ],7,2.0,2
8,15,"[ 3, 5 ]",3.872983346207417,1.0,15.0,[ 3 ],5,3.0,4
9,16,"[ 2, 2, 2, 2 ]",2.0,0.0,0.0,"[ 2, 2, 2 ]",2,8.0,0
10,18,"[ 2, 3, 3 ]",2.6207413942088964,0.4597528685970345,39.15146860296524,"[ 2, 3 ]",3,6.0,5
11,20,"[ 2, 2, 5 ]",2.7144176165949063,1.2381392055316354,16.153272516245334,"[ 2, 2 ]",5,4.0,4
12,21,"[ 3, 7 ]",4.58257569495584,2.0,10.5,[ 3 ],7,3.0,3
13,22,"[ 2, 11 ]",4.69041575982343,4.5,4.888888888888889,[ 2 ],11,2.0,2
14,24,"[ 2, 2, 2, 3 ]",2.213363839400643,0.3566819197003215,67.28684206971977,"[ 2, 2, 2 ]",3,8.0,5
15,25,"[ 5, 5 ]",5.0,0.0,0.0,[ 5 ],5,5.0,0
16,26,"[ 2, 13 ]",5.0990195135927845,5.5,4.7272727272727275,[ 2 ],13,2.0,2
17,27,"[ 3, 3, 3 ]",3.0,0.0,0.0,"[ 3, 3 ]",3,9.0,0
18,28,"[ 2, 2, 7 ]",3.0365889718756622,2.012196323958554,13.915143202784584,"[ 2, 2 ]",7,4.0,4
19,30,"[ 2, 3, 5 ]",3.1072325059538586,1.0357441686512863,28.964681538168893,"[ 2, 3 ]",5,6.0,4
20,32,"[ 2, 2, 2, 2, 2 ]",2.0,0.0,0.0,"[ 2, 2, 2, 2 ]",2,16.0,0
21,33,"[ 3, 11 ]",5.744562646538029,4.0,8.25,[ 3 ],11,3.0,3
22,34,"[ 2, 17 ]",5.830951894845301,7.5,4.533333333333333,[ 2 ],17,2.0,2
23,35,"[ 5, 7 ]",5.916079783099616,1.0,35.0,[ 5 ],7,5.0,5
24,36,"[ 2, 2, 3, 3 ]",2.449489742783178,0.5,72.0,"[ 2, 2, 3 ]",3,12.0,5
25,38,"[ 2, 19 ]",6.164414002968976,8.5,4.470588235294118,[ 2 ],19,2.0,1
26,39,"[ 3, 13 ]",6.244997998398398,5.0,7.8,[ 3 ],13,3.0,3
27,40,"[ 2, 2, 2, 5 ]",2.514866859365871,1.0074334296829355,39.70485673935696,"[ 2, 2, 2 ]",5,8.0,5
