,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,49,"[ 7, 7 ]",7.0,0.0,0,[ 7 ],7,7.0,0
1,77,"[ 7, 11 ]",9.0,2.0,38.5,[ 7 ],11,7.0,1
2,91,"[ 7, 13 ]",10.0,3.0,30.33333333333333333333333333,[ 7 ],13,7.0,1
3,119,"[ 7, 17 ]",12.0,5.0,23.8,[ 7 ],17,7.0,2
4,133,"[ 7, 19 ]",13.0,6.0,22.16666666666666666666666667,[ 7 ],19,7.0,2
5,161,"[ 7, 23 ]",15.0,8.0,20.125,[ 7 ],23,7.0,2
6,203,"[ 7, 29 ]",18.0,11.0,18.45454545454545454545454545,[ 7 ],29,7.0,3
7,217,"[ 7, 31 ]",19.0,12.0,18.08333333333333333333333333,[ 7 ],31,7.0,3
8,259,"[ 7, 37 ]",22.0,15.0,17.26666666666666666666666667,[ 7 ],37,7.0,3
9,287,"[ 7, 41 ]",24.0,17.0,16.88235294117647058823529412,[ 7 ],41,7.0,3
10,301,"[ 7, 43 ]",25.0,18.0,16.72222222222222222222222222,[ 7 ],43,7.0,4
11,329,"[ 7, 47 ]",27.0,20.0,16.45,[ 7 ],47,7.0,4
12,371,"[ 7, 53 ]",30.0,23.0,16.13043478260869565217391304,[ 7 ],53,7.0,4
13,413,"[ 7, 59 ]",33.0,26.0,15.88461538461538461538461538,[ 7 ],59,7.0,4
14,427,"[ 7, 61 ]",34.0,27.0,15.81481481481481481481481481,[ 7 ],61,7.0,4
15,469,"[ 7, 67 ]",37.0,30.0,15.63333333333333333333333333,[ 7 ],67,7.0,5
16,497,"[ 7, 71 ]",39.0,32.0,15.53125,[ 7 ],71,7.0,5
17,511,"[ 7, 73 ]",40.0,33.0,15.48484848484848484848484848,[ 7 ],73,7.0,5
18,553,"[ 7, 79 ]",43.0,36.0,15.36111111111111111111111111,[ 7 ],79,7.0,5
19,581,"[ 7, 83 ]",45.0,38.0,15.28947368421052631578947368,[ 7 ],83,7.0,5
20,623,"[ 7, 89 ]",48.0,41.0,15.19512195121951219512195122,[ 7 ],89,7.0,5
21,679,"[ 7, 97 ]",52.0,45.0,15.08888888888888888888888889,[ 7 ],97,7.0,6
22,707,"[ 7, 101 ]",54.0,47.0,15.04255319148936170212765957,[ 7 ],101,7.0,6
23,721,"[ 7, 103 ]",55.0,48.0,15.02083333333333333333333333,[ 7 ],103,7.0,6
24,749,"[ 7, 107 ]",57.0,50.0,14.98,[ 7 ],107,7.0,6
25,763,"[ 7, 109 ]",58.0,51.0,14.96078431372549019607843137,[ 7 ],109,7.0,6
26,791,"[ 7, 113 ]",60.0,53.0,14.92452830188679245283018868,[ 7 ],113,7.0,6
27,889,"[ 7, 127 ]",67.0,60.0,14.81666666666666666666666667,[ 7 ],127,7.0,6
28,917,"[ 7, 131 ]",69.0,62.0,14.79032258064516129032258065,[ 7 ],131,7.0,7
29,959,"[ 7, 137 ]",72.0,65.0,14.75384615384615384615384615,[ 7 ],137,7.0,7
30,973,"[ 7, 139 ]",73.0,66.0,14.74242424242424242424242424,[ 7 ],139,7.0,7
31,1043,"[ 7, 149 ]",78.0,71.0,14.69014084507042253521126761,[ 7 ],149,7.0,7
32,1057,"[ 7, 151 ]",79.0,72.0,14.68055555555555555555555556,[ 7 ],151,7.0,7
33,1099,"[ 7, 157 ]",82.0,75.0,14.65333333333333333333333333,[ 7 ],157,7.0,7
34,1141,"[ 7, 163 ]",85.0,78.0,14.62820512820512820512820513,[ 7 ],163,7.0,7
35,1169,"[ 7, 167 ]",87.0,80.0,14.6125,[ 7 ],167,7.0,7
36,1211,"[ 7, 173 ]",90.0,83.0,14.59036144578313253012048193,[ 7 ],173,7.0,8
37,1253,"[ 7, 179 ]",93.0,86.0,14.56976744186046511627906977,[ 7 ],179,7.0,8
38,1267,"[ 7, 181 ]",94.0,87.0,14.56321839080459770114942529,[ 7 ],181,7.0,8
39,1337,"[ 7, 191 ]",99.0,92.0,14.53260869565217391304347826,[ 7 ],191,7.0,8
40,1351,"[ 7, 193 ]",100.0,93.0,14.52688172043010752688172043,[ 7 ],193,7.0,8
41,1379,"[ 7, 197 ]",102.0,95.0,14.51578947368421052631578947,[ 7 ],197,7.0,8
42,1393,"[ 7, 199 ]",103.0,96.0,14.51041666666666666666666667,[ 7 ],199,7.0,8
43,1477,"[ 7, 211 ]",109.0,102.0,14.48039215686274509803921569,[ 7 ],211,7.0,8
44,1561,"[ 7, 223 ]",115.0,108.0,14.45370370370370370370370370,[ 7 ],223,7.0,8
45,1589,"[ 7, 227 ]",117.0,110.0,14.44545454545454545454545455,[ 7 ],227,7.0,9
46,1603,"[ 7, 229 ]",118.0,111.0,14.44144144144144144144144144,[ 7 ],229,7.0,9
47,1631,"[ 7, 233 ]",120.0,113.0,14.43362831858407079646017699,[ 7 ],233,7.0,9
48,1673,"[ 7, 239 ]",123.0,116.0,14.42241379310344827586206897,[ 7 ],239,7.0,9
49,1687,"[ 7, 241 ]",124.0,117.0,14.41880341880341880341880342,[ 7 ],241,7.0,9
50,1757,"[ 7, 251 ]",129.0,122.0,14.40163934426229508196721311,[ 7 ],251,7.0,9
51,1799,"[ 7, 257 ]",132.0,125.0,14.392,[ 7 ],257,7.0,9
52,1841,"[ 7, 263 ]",135.0,128.0,14.3828125,[ 7 ],263,7.0,9
53,1883,"[ 7, 269 ]",138.0,131.0,14.37404580152671755725190840,[ 7 ],269,7.0,9
54,1897,"[ 7, 271 ]",139.0,132.0,14.37121212121212121212121212,[ 7 ],271,7.0,9
55,1939,"[ 7, 277 ]",142.0,135.0,14.36296296296296296296296296,[ 7 ],277,7.0,10
56,1967,"[ 7, 281 ]",144.0,137.0,14.35766423357664233576642336,[ 7 ],281,7.0,10
57,1981,"[ 7, 283 ]",145.0,138.0,14.35507246376811594202898551,[ 7 ],283,7.0,10
58,2051,"[ 7, 293 ]",150.0,143.0,14.34265734265734265734265734,[ 7 ],293,7.0,10
