,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,4,"[ 2, 2 ]",2.0,0.0,0,[ 2 ],2,2.0,0
1,6,"[ 2, 3 ]",2.5,0.5,12,[ 2 ],3,2.0,0
2,10,"[ 2, 5 ]",3.5,1.5,6.666666666666666666666666667,[ 2 ],5,2.0,1
3,14,"[ 2, 7 ]",4.5,2.5,5.6,[ 2 ],7,2.0,1
4,22,"[ 2, 11 ]",6.5,4.5,4.888888888888888888888888889,[ 2 ],11,2.0,2
5,26,"[ 2, 13 ]",7.5,5.5,4.727272727272727272727272727,[ 2 ],13,2.0,2
6,34,"[ 2, 17 ]",9.5,7.5,4.533333333333333333333333333,[ 2 ],17,2.0,2
7,38,"[ 2, 19 ]",10.5,8.5,4.470588235294117647058823529,[ 2 ],19,2.0,2
8,46,"[ 2, 23 ]",12.5,10.5,4.380952380952380952380952381,[ 2 ],23,2.0,3
9,58,"[ 2, 29 ]",15.5,13.5,4.296296296296296296296296296,[ 2 ],29,2.0,3
10,62,"[ 2, 31 ]",16.5,14.5,4.275862068965517241379310345,[ 2 ],31,2.0,3
11,74,"[ 2, 37 ]",19.5,17.5,4.228571428571428571428571429,[ 2 ],37,2.0,3
12,82,"[ 2, 41 ]",21.5,19.5,4.205128205128205128205128205,[ 2 ],41,2.0,4
13,86,"[ 2, 43 ]",22.5,20.5,4.195121951219512195121951220,[ 2 ],43,2.0,4
14,94,"[ 2, 47 ]",24.5,22.5,4.177777777777777777777777778,[ 2 ],47,2.0,4
15,106,"[ 2, 53 ]",27.5,25.5,4.156862745098039215686274510,[ 2 ],53,2.0,4
16,118,"[ 2, 59 ]",30.5,28.5,4.140350877192982456140350877,[ 2 ],59,2.0,4
17,122,"[ 2, 61 ]",31.5,29.5,4.135593220338983050847457627,[ 2 ],61,2.0,4
18,134,"[ 2, 67 ]",34.5,32.5,4.123076923076923076923076923,[ 2 ],67,2.0,4
19,142,"[ 2, 71 ]",36.5,34.5,4.115942028985507246376811594,[ 2 ],71,2.0,4
20,146,"[ 2, 73 ]",37.5,35.5,4.112676056338028169014084507,[ 2 ],73,2.0,4
21,158,"[ 2, 79 ]",40.5,38.5,4.103896103896103896103896104,[ 2 ],79,2.0,4
22,166,"[ 2, 83 ]",42.5,40.5,4.098765432098765432098765432,[ 2 ],83,2.0,5
23,178,"[ 2, 89 ]",45.5,43.5,4.091954022988505747126436782,[ 2 ],89,2.0,5
24,194,"[ 2, 97 ]",49.5,47.5,4.084210526315789473684210526,[ 2 ],97,2.0,5
25,202,"[ 2, 101 ]",51.5,49.5,4.080808080808080808080808081,[ 2 ],101,2.0,5
26,206,"[ 2, 103 ]",52.5,50.5,4.079207920792079207920792079,[ 2 ],103,2.0,5
27,214,"[ 2, 107 ]",54.5,52.5,4.076190476190476190476190476,[ 2 ],107,2.0,5
28,218,"[ 2, 109 ]",55.5,53.5,4.074766355140186915887850467,[ 2 ],109,2.0,5
29,226,"[ 2, 113 ]",57.5,55.5,4.072072072072072072072072072,[ 2 ],113,2.0,5
30,254,"[ 2, 127 ]",64.5,62.5,4.064,[ 2 ],127,2.0,5
31,262,"[ 2, 131 ]",66.5,64.5,4.062015503875968992248062016,[ 2 ],131,2.0,5
32,274,"[ 2, 137 ]",69.5,67.5,4.059259259259259259259259259,[ 2 ],137,2.0,5
33,278,"[ 2, 139 ]",70.5,68.5,4.058394160583941605839416058,[ 2 ],139,2.0,5
